"Hashtag","Frequency"
"TravelBan",1
"traveling",1
"TravelTuesday",1
"Trayvon19",1
"treasures",1
"troops",1
"Trump",1
"trumpcare",1
"TrumpJudges",1
"TrumpTax",1
"TrumpTaxPlan",1
"TSDarby",1
"tt",1
"TVPRA",1
"UACs",1
"UH",1
"UHinDC",1
"unbeatable",1
"UNGA",1
"Union",1
"United",1
"UniversalPreK",1
"US",1
"USAF",1
"USAJapan70",1
"USOService",1
"USSYP",1
"USSYP2014",1
"USvTexas",1
"USvTX",1
"USWNT",1
"VABenefitsWebinar",1
"VAMHHI",1
"VAWA20th",1
"VEDay70",1
"veggies",1
"VetCorps",1
"VeteransHealth",1
"VFWDC2016",1
"VFWHill2014",1
"victims",1
"Victims",1
"vine",1
"visa",1
"visas",1
"visawaiver",1
"VisaWaiverProgram",1
"Visit",1
"VisitHawaii",1
"VISTA50",1
"volleyball",1
"volunteer",1
"volunteers",1
"Volunteers",1
"vote",1
"VOTE",1
"votearama",1
"VoteARama",1
"VRA50",1
"VRAA",1
"VRAA4Today",1
"WakeUp2day",1
"WarriorInvitational",1
"Washington",1
"water",1
"wealthiest",1
"WeAreAllDreamers",1
"WearOrange",1
"WearRedDay",1
"WEMatter",1
"WeWillNeverForget",1
"WeWillNotGoBack",1
"WeWillResist",1
"WholeWomansHealth",1
"WholeWomensHealth",1
"WHPTA",1
"WinterOlympics",1
"Women",1
"WomeninSTEM",1
"WomenVets",1
"work",1
"workforce",1
"WorkplaceEquality",1
"WorldTeachersDay",1
"WRDA",1
"WWII",1
"Yellen",1
"youngleaders",1
"YouthFitness",1
"Zika",1
