"Mention","Frequency"
"SIFMAFoundation",1
"SimmonsCatfish",1
"Sipconservative",1
"SMCC_Athletics",1
"SnackbarOxford",1
"Sofidelsharing",1
"SophiaGushee",1
"Southaven_MS",1
"SouthernScenery",1
"SpecialOlympics",1
"spfightingirish",1
"sprivett_tv",1
"SRuhle",1
"StabenowPress",1
"StaceyPickering",1
"Starkville_City",1
"state",1
"StateDept",1
"StennisCenter",1
"SteveDaines",1
"SteveMTalk",1
"StevenPalazzo",1
"SteveScalise",1
"stybor3",1
"SuperBowl",1
"swallswtva",1
"TaraRGimbel",1
"Taylor_Machine",1
"TCANews",1
"TeachForAmerica",1
"TeachingLC",1
"Teamsters",1
"tedcruz",1
"Telemundo",1
"the_old_guard",1
"the_USO",1
"TheDeltaCenter1",1
"TheFiveFNC",1
"thefix",1
"theheraldsun",1
"TheInnatOleMiss",1
"TheManshipjxn",1
"TheMasters",1
"TheNationalMall",1
"TheW_pres",1
"ThomasARoberts",1
"TIME",1
"TNGAMS",1
"TobaccoFreeKids",1
"TODAYshow",1
"ToddYoungIN",1
"TomasikC",1
"TomCoburn",1
"TougalooCollege",1
"tourclevelandms",1
"townhallcom",1
"TravelCoalition",1
"TrekToDC",1
"trentharmon",1
"TrumpHotels",1
"truthinitiative",1
"tupelobuffalopa",1
"tupeloparkrec",1
"TVA_Newsroom",1
"TweetDCS_WES",1
"Twitter",1
"UConn",1
"ugottafriend",1
"UN",1
"UNHumanRights",1
"UPS",1
"UpwithSteve",1
"US_EUCOM",1
"US_IMLS",1
"USAFA",1
"USAFReserve",1
"usaricenews",1
"usdafsa",1
"USGBC",1
"USGrantLibrary",1
"usioosgov",1
"USMarineCorps",1
"usmayors",1
"USMDrB",1
"USMEagleStrike",1
"USMGulfPark",1
"USNationalGuard",1
"usogulfcoast",1
"USPacificFleet",1
"USSHARRYSTRUMAN",1
"USSupremeCourt",1
"VanJones68",1
"Varneyco",1
"viewglass",1
"visitmeridian",1
"visitnatchez",1
"VisitOxfordMS",1
"VisitTheDelta",1
"VisitVicksburg",1
"VolunteerYall",1
"WABGTV6",1
"WaCaDe",1
"WalktoDefeatALS",1
"WCBINEWS",1
"wearejacksonms",1
"weeklystandard",1
"WestPoint_USMA",1
"WesWilliamsII",1
"wherefordwtva",1
"WHO",1
"williebosshog",1
"winchester",1
"WLOVFox27",1
"WMCActionNews5",1
"WSJopinion",1
"wto",1
"WTOKTV",1
"wtva9news",1
"WWIImuseum",1
"ymca",1
"YouthService",1
"Zagat",1
