"Hashtag","Frequency"
"SaveRetirement",1
"SaveTheACA",1
"SaveTheEPA",1
"SayNoToAzar",1
"science",1
"Science",1
"ScienceForSale",1
"scotus",1
"SCOTUSnominee",1
"SenMarkey",1
"sensoryimpairments",1
"Sessions",1
"ShopSmall",1
"skinnyRepeal",1
"Smallbiz",1
"Smartgun",1
"snap",1
"SolarPowerNE",1
"SolveSeniorHunger",1
"Space",1
"SpecialEducation",1
"StandWithGavin",1
"StandWithPP",1
"StateOfTheAir",1
"StateOfTheState",1
"StayWoke",1
"stillin",1
"StopDiabetes",1
"StPatricksDay",1
"StudentDebt",1
"Superfund",1
"SyriaGasAttack",1
"SyriaStrikes",1
"TakeItSlow",1
"TallShips",1
"Taunton",1
"taxreform",1
"texaschurchshooting",1
"ThanksgivingDay",1
"TheBeat",1
"ThisIsDiabetes",1
"TimeToBuild",1
"Tokyo",1
"tornado",1
"trainderailment",1
"triclosan",1
"Trump100Day",1
"Trumprussia",1
"trumptaxes",1
"trumptaxplan",1
"TrumpTaxPlan",1
"umassbandhistory",1
"UMassRoses",1
"UNGA2017",1
"Unite4BH",1
"Uniting4Climate",1
"USARIGHTSAct",1
"USVI",1
"valentines",1
"VelshiRuhle",1
"VeteransDay",1
"VFWDC2017",1
"VOG",1
"VoicesFor100",1
"VoteNo",1
"wagegap",1
"WallSt",1
"WallStreet",1
"Warren",1
"wearealldreamers",1
"WeAreAllDreamers",1
"WeObject",1
"WeRemember",1
"WesternMA",1
"Westfield",1
"WeThePeople",1
"WhopperNeutrality",1
"wildlife",1
"wind",1
"Woburn",1
"womenshealth",1
"WomensMarch2018",1
"WorldAIDSDay",1
"WorldEmojiDay",1
