ID, ideology, leadership, name, party, description, introduced_bills_115, cosponsored_bills_115, unique_cosponsors_115, total_cosponsors_115
412739, 0.412414354001, 0.0776755885525, Gomez, Democrat, centrist Democratic follower, 2, 137, 24, 24
412682, 0.476530398309, 0.0992018938289, O’Halleran, Democrat, centrist Democratic follower, 11, 232, 34, 46
412731, 0.637782684452, 0.45902092528, Gallagher, Republican, centrist Republican, 11, 168, 180, 225
412701, 0.416355064818, 0.324633837473, Krishnamoorthi, Democrat, centrist Democrat, 11, 207, 146, 258
412735, 0.593618109704, 0.044145844319, Estes, Republican, centrist Republican follower , 4, 70, 5, 9
412724, 0.59786293449, 0.202428323375, Kustoff, Republican, centrist Republican follower , 7, 79, 60, 64
412736, 0.562848048809, 0.00999466525832, Gianforte, Republican, centrist Republican follower , 9, 50, 2, 2
412703, 0.594042257047, 0.139637346719, Hollingsworth, Republican, centrist Republican follower , 7, 88, 33, 35
412725, 0.46873537216, 0.0401131778054, Gonzalez, Democrat, centrist Democratic follower, 3, 223, 12, 12
412726, 0.64839320544, 0.0483902834436, Arrington, Republican, centrist Republican follower , 5, 126, 10, 13
412737, 0.566765447844, 0.0, Handel, Republican, centrist Republican follower , 0, 49, 0, 0
412740, 0.536278202423, 0.092052757531, Curtis, Republican, centrist Republican follower , 3, 28, 19, 26
