full_name,chamber,party,state,screen_name,alt_name1,alt_name2
Claire McCaskill,Senate,D, Mo.,McCaskillOffice,clairecmc,McCaskill4MO
Anthony Brown,House,D,Md.,RepAnthonyBrown,AnthonyBrownMD4,
Jimmy Panetta,House,D,Calif.,RepJimmyPanetta,,
Angus King ,Senate,ID, Maine,SenAngusKing,,
Brad Sherman,House,D,Calif.,BradSherman,,
Mike Thompson,House,D,Calif.,RepThompson,,
Derek Kilmer,House,D,Wash.,RepDerekKilmer,,
Ruben Kihuen,House,D,Nev.,RepKihuen,,
John Delaney,House,D,Md.,RepJohnDelaney,JohnKDelaney,
Al Lawson,House,D,Fla.,RepAlLawsonJr,,
Susan Collins,Senate,R, Maine,SenatorCollins,,
Jimmy Gomez,House,D,Calif.,RepJimmyGomez,JimmyGomezCA,
Raja Krishnamoorthi,House,D,Ill.,CongressmanRaja,,
Charlie Crist,House,D,Fla.,RepCharlieCrist,CharlieCrist,
Cheri Bustos,House,D,Ill.,RepCheri,CheriBustos,
Peter J. Visclosky,House,D,Ind.,RepVisclosky,,
Filemon Vela,House,D,Texas,RepFilemonVela,,
Sanford D. Bishop Jr.,House,D,Ga.,SanfordBishop,,
Dave Loebsack,House,D,Iowa,daveloebsack,,
Bill Nelson,Senate,D, Fla.,SenBillNelson,,
Jacky Rosen,House,D,Nev.,RepJackyRosen,RosenforNevada,
Ami Bera,House,D,Calif.,RepBera,BeraForCongress,
Jon Tester,Senate,D, Mont.,SenatorTester,jontester,
Thomas Suozzi,House,D,N.Y.,RepTomSuozzi,,
J. Luis Correa,House,D,Calif.,RepLouCorrea,,
Brad Schneider,House,D,Ill.,RepSchneider,Schneider4IL10,
Tim Walz,House,D,Minn.,RepTimWalz,Tim_Walz,
Richard E. Neal,House,D,Mass.,RepRichardNeal,,
C.A. Dutch Ruppersberger,House,D,Md.,Call_Me_Dutch,,
David Scott,House,D,Ga.,BobbyScott,,
Gene Green,House,D,Texas,RepGeneGreen,GeneGreen29,
Doug Jones,Senate,D, Ala.,SenDougJones,DougJones,
Vicente Gonzalez,House,D,Texas,RepGonzalez,,
Stephanie Murphy,House,D,Fla.,RepStephMurphy,SMurphyCongress,
Tom O'Halleran,House,D,Ariz.,RepOHalleran,TomOHalleran,
Jim Cooper,House,D,Tenn.,repjimcooper,,
Daniel Lipinski,House,D,Ill.,RepLipinski,,
Jim Costa,House,D,Calif.,RepJimCosta,,
Heidi Heitkamp,Senate,D, N.D.,SenatorHeitkamp,HeidiHeitkamp,
Ron Kind,House,D,Wis.,RepRonKind,,
Josh Gottheimer,House,D,N.J.,RepJoshG,JoshGottheimer,
Kurt Schrader,House,D,Ore.,RepSchrader,,
Kevin McCarthy,House,R,Calif.,GOPLeader,kevinomccarthy,
John Curtis,House,R,Utah,RepJohnCurtis,CurtisUT,
Jenniffer Gonzalez-Colon,House,R,Puerto Rico,RepJenniffer,,
Kyrsten Sinema,House,D,Ariz.,RepSinema,kyrstensinema,
Ileana Ros-Lehtinen,House,R,Fla.,RosLehtinen,,
Scott Taylor,House,R,Va.,RepScottTaylor,Scotttaylorva,
Joe Donnelly,Senate,D, Ind.,SenDonnelly,,
Amata Coleman Radewagen,House,R,American Samoa,RepAmata,,
John Faso,House,R,N.Y.,RepJohnFaso,,
Brian Fitzpatrick,House,R,Pa.,RepBrianFitz,,
Karen Handel,House,R,Ga.,RepKHandel,karenhandel,
Brian Mast,House,R,Fla.,RepBrianMast,BrianMastFL,
Lisa Murkowski,Senate,R, Alaska,lisamurkowski,LisaForSenate,
Joe Manchin III,Senate,D, W.Va.,Sen_JoeManchin,,
Jason Lewis,House,R,Minn.,RepJasonLewis,Jason2CD,
Liz Cheney,House,R,Wyo.,RepLizCheney,Liz_Cheney,
Henry Cuellar,House,D,Texas,RepCuellar,,
Paul D. Ryan,House,R,Wis.,SpeakerRyan,,
Justin Amash,House,R,Mich.,justinamash,amasharchive,
Ron Estes,House,R,Kansas,RepRonEstes,,
Daniel M. Donovan,House,R,N.Y.,RepDanDonovan,,
Trey Hollingsworth,House,R,Ind.,RepTrey,VoteForTrey,
Jack Bergman,House,R,Mich.,RepJackBergman,,
David Kustoff,House,R,Tenn.,RepDavidKustoff,,
John Rutherford,House,R,Fla.,RepRutherfordFL,,
John Katko,House,R,N.Y.,RepJohnKatko,,
Frank A. LoBiondo,House,R,N.J.,RepLoBiondo,,
Claudia Tenney,House,R,N.Y.,RepTenney,claudiatenney,
Todd Young,Senate,R, Ind.,SenToddYoung,ToddYoungIN,
Clay Higgins,House,R,La.,RepClayHiggins,,
James Comer,House,R,Ky.,KYComer,,
Rob Portman,Senate,R, Ohio,senrobportman,robportman,
Peter T. King,House,R,N.Y.,RepPeteKing,,
Tom MacArthur,House,R,N.J.,RepTomMacArthur,tmac4congress,
Mike Johnson,House,R,La.,RepMikeJohnson,,
Dave Reichert,House,R,Wash.,davereichert,,
Ryan Costello,House,R,Pa.,RepRyanCostello,,
Fred Upton,House,R,Mich.,RepFredUpton,,
Rodney Frelinghuysen,House,R,N.J.,USRepRodney,,
Warren Davidson,House,R,Ohio,WarrenDavidson,,
Mike Gallagher,House,R,Wis.,RepGallagher,,
Lloyd Smucker,House,R,Pa.,RepSmucker,,
Charlie Dent,House,R,Pa.,RepCharlieDent,,
