"govTrack_id","full_name","chamber","party","state","bin","govTrack_desc","govTrack_ideology","proPub_votesAgainstParty","user_id","name","screen_name","location","description","statuses_count","followers_count","friends_count","favourites_count","verified","account_created_at","profile_expanded_url","profile_image_url"
"x300093","Debbie Stabenow","Senate","D"," Mich.",4," rank-and-file Democrat",0.178532152298,"6.2%","x456137574","Stabenow for Senate","TeamStabenow","Michigan","News and updates from the Stabenow for Senate Campaign. For Debbie's updates, follow: @Stabenow",500,2315,1833,0,TRUE,"2012-01-05 22:35:10","http://stabenowforsenate.com","http://pbs.twimg.com/profile_images/1737461996/Team-Stabenow-Twitter-Logo_normal.png"
"x300093","Debbie Stabenow","Senate","D"," Mich.",4," rank-and-file Democrat",0.178532152298,"6.2%","x76456274","Sen. Debbie Stabenow","SenStabenow","Washington, DC","Representing the people from the Great State of Michigan in the United States Senate",3308,83888,2174,30,TRUE,"2009-09-22 21:30:16","http://stabenow.senate.gov","http://pbs.twimg.com/profile_images/735149032096604161/co-FGACV_normal.jpg"
"x400415","Chris Van Hollen","Senate","D"," Md.",4," moderate Democratic follower",0.18494116631,"4.2%","x3067974778","Chris Van Hollen","VanHollenForMD","Maryland","Proud Marylander serving the people of this state for 25 years. Progressive fighter committed to getting results.",1058,4000,242,325,TRUE,"2015-03-03 14:43:00","http://VanHollen.org","http://pbs.twimg.com/profile_images/725392862507098112/pype4i0z_normal.jpg"
"x400415","Chris Van Hollen","Senate","D"," Md.",4," moderate Democratic follower",0.18494116631,"4.2%","x18137749","Chris Van Hollen","ChrisVanHollen","Maryland, USA","U.S. Senator for Maryland",3514,117521,476,561,TRUE,"2008-12-15 15:00:29","http://www.vanhollen.senate.gov","http://pbs.twimg.com/profile_images/943708990449618944/0XSZE4Et_normal.jpg"
"x300100","Ron Wyden","Senate","D"," Ore.",5," moderate Democratic leader",0.189800553352,"10.3%","x122124607","Wyden for Oregon","WydenForOregon","Oregon","The Twitter feed for Oregon's Senator Ron Wyden, managed by campaign staff. Tweets from Ron are signed #RonWyden",217,3428,2429,2,TRUE,"2010-03-11 17:33:48","http://WydenForSenate.com","http://pbs.twimg.com/profile_images/662343432216571904/fDqZpvlo_normal.jpg"
"x300100","Ron Wyden","Senate","D"," Ore.",5," moderate Democratic leader",0.189800553352,"10.3%","x250188760","Ron Wyden","RonWyden","Oregon","U.S. Senator from Oregon. @SenateFinance Ranking Member. Follow @WydenPress for updates from my staff. Instagram: https://t.co/a6CyBjcD79",6055,393144,398,59,TRUE,"2011-02-10 16:08:15","http://wyden.senate.gov","http://pbs.twimg.com/profile_images/847448688448294912/zobeO8dK_normal.jpg"
"x412644","Bonnie Watson Coleman","House","D","N.J.",5," progressive Democrat",0.196533108056,"6.8%","x2968451607","Bonnie WatsonColeman","RepBonnie","New Jersey, USA","Proudly serving the people of New Jersey’s 12th Congressional District. Proud #BlackWoman. Progressive Dem. Member of the #Resistance. Co-Chair of @CBWGCaucus.",4365,11202,671,1877,TRUE,"2015-01-08 20:18:16","https://watsoncoleman.house.gov/","http://pbs.twimg.com/profile_images/845372765754548225/c46z5Dj0_normal.jpg"
"x412598","Cory Booker","Senate","D"," N.J.",5," rank-and-file Democrat",0.200149668924,"16.1%","x2167097881","Sen. Cory Booker","SenBooker","New Jersey * Washington, DC","The U.S. Senate Office of Cory Booker, D-NJ. Tweets by staff.",3800,83593,6096,1012,TRUE,"2013-10-31 19:02:04","http://www.booker.senate.gov","http://pbs.twimg.com/profile_images/827586956376829952/F-rxck4H_normal.jpg"
"x412598","Cory Booker","Senate","D"," N.J.",5," rank-and-file Democrat",0.200149668924,"16.1%","x15808765","Cory Booker","CoryBooker","Newark, NJ","U.S. Senator from New Jersey",61449,3952304,93447,79,TRUE,"2008-08-11 14:41:16","","http://pbs.twimg.com/profile_images/808720861561819136/ErfTMaMx_normal.jpg"
"x400259","Betty McCollum","House","D","Minn.",5," progressive Democrat",0.203361451203,"5.9%","x516880804","Rep. Betty McCollum","BettyMcCollum04","Minnesota","Proudly representing Minnesota's Fourth District in the United States House of Representatives.",5820,23938,1034,595,TRUE,"2012-03-06 20:52:11","http://mccollum.house.gov/","http://pbs.twimg.com/profile_images/968221322907127813/8f03lWP3_normal.jpg"
"x412521","Alan Lowenthal","House","D","Calif.",5," progressive Democrat",0.204608871915,"5.2%","x1055730738","Rep. Alan Lowenthal","RepLowenthal","Long Beach, CA","Proudly serving California's 47th Congressional District. http://t.co/pHmhAyCM6J",3143,23954,3278,304,TRUE,"2013-01-02 18:11:33","http://lowenthal.house.gov","http://pbs.twimg.com/profile_images/523118825928015873/_KcBsyJZ_normal.jpeg"
"x400240","John Lewis","House","D","Ga.",5," progressive Democratic leader",0.205477534218,"5.5%","x29450962","John Lewis","repjohnlewis","Atlanta, GA","Congressman, Georgia's Fifth Congressional District",1839,874374,147,1680,TRUE,"2009-04-07 13:49:52","http://johnlewis.house.gov","http://pbs.twimg.com/profile_images/751446634429575169/KWfWsq0W_normal.jpg"
"x400290","Grace F. Napolitano","House","D","Calif.",5," progressive Democrat",0.20590373473,"6.7%","x161411080","Rep.Grace Napolitano","gracenapolitano","El Monte, CA","Congresswoman from California's 32nd Congressional District in the US House of Representatives",1980,28165,500,95,TRUE,"2010-06-30 19:48:06","http://www.napolitano.house.gov","http://pbs.twimg.com/profile_images/463688165140619266/qoncv3qd_normal.jpeg"
"x412511","Jared Huffman","House","D","Calif.",5," progressive Democrat",0.206746078249,"7.7%","x1071102246","Rep. Jared Huffman","RepHuffman","California's North Coast","Congressman for California's North Coast. On Facebook at https://t.co/a4QfL2Jw5p.   Listen to my brand new podcast at https://t.co/XDE8MuHKxF",2035,23376,818,41,TRUE,"2013-01-08 14:52:00","http://huffman.house.gov","http://pbs.twimg.com/profile_images/651435990100279296/5lQBk2Ut_normal.png"
"x412470","David Cicilline","House","D","R.I.",5," progressive Democratic leader",0.208387726551,"5.1%","x23593446","David Cicilline","davidcicilline","","Congressman for the 1st District of Rhode Island. DPCC Co-Chair. #ABetterDeal",15360,54680,3571,1043,TRUE,"2009-03-10 13:53:21","","http://pbs.twimg.com/profile_images/960354458365554694/gaOJMfBF_normal.jpg"
