"name","propublica_url","twitter_url"
"Mark DeSaulnier","https://projects.propublica.org/represent/members/D000623-mark-desaulnier","http://twitter.com/RepDeSaulnier"
"Scott DesJarlais","https://projects.propublica.org/represent/members/D000616-scott-desjarlais","http://twitter.com/DesJarlaisTN04"
"Ted Deutch","https://projects.propublica.org/represent/members/D000610-ted-deutch","http://twitter.com/RepTedDeutch"
"Mario Diaz-Balart","https://projects.propublica.org/represent/members/D000600-mario-diaz-balart","http://twitter.com/MarioDB"
"Debbie Dingell","https://projects.propublica.org/represent/members/D000624-debbie-dingell","http://twitter.com/RepDebDingell"
"Lloyd Doggett","https://projects.propublica.org/represent/members/D000399-lloyd-doggett","http://twitter.com/RepLloydDoggett"
"Daniel M. Donovan","https://projects.propublica.org/represent/members/D000625-daniel-m-donovan","http://twitter.com/RepDanDonovan"
"Mike Doyle","https://projects.propublica.org/represent/members/D000482-mike-doyle","http://twitter.com/USRepMikeDoyle"
"Sean Duffy","https://projects.propublica.org/represent/members/D000614-sean-duffy","http://twitter.com/RepSeanDuffy"
"John J. Duncan Jr.","https://projects.propublica.org/represent/members/D000533-john-j-duncan-jr","http://twitter.com/RepJohnDuncanJr"
"Jeffrey Duncan","https://projects.propublica.org/represent/members/D000615-jeffrey-duncan","http://twitter.com/RepJeffDuncan"
"Neal Dunn","https://projects.propublica.org/represent/members/D000628-neal-dunn","http://twitter.com/drnealdunnfl2"
"Keith Ellison","https://projects.propublica.org/represent/members/E000288-keith-ellison","http://twitter.com/KeithEllison"
"Tom Emmer","https://projects.propublica.org/represent/members/E000294-tom-emmer","http://twitter.com/RepTomEmmer"
"Eliot L. Engel","https://projects.propublica.org/represent/members/E000179-eliot-l-engel","http://twitter.com/RepEliotEngel"
"Anna G. Eshoo","https://projects.propublica.org/represent/members/E000215-anna-g-eshoo","http://twitter.com/RepAnnaEshoo"
"Adriano Espaillat","https://projects.propublica.org/represent/members/E000297-adriano-espaillat","http://twitter.com/RepEspaillat"
"Ron Estes","https://projects.propublica.org/represent/members/E000298-ron-estes","http://twitter.com/RepRonEstes"
"Elizabeth Esty","https://projects.propublica.org/represent/members/E000293-elizabeth-esty","http://twitter.com/RepEsty"
"Dwight Evans","https://projects.propublica.org/represent/members/E000296-dwight-evans","http://twitter.com/RepDwightEvans"
"Blake Farenthold","https://projects.propublica.org/represent/members/F000460-blake-farenthold","http://twitter.com/Farenthold"
"John Faso","https://projects.propublica.org/represent/members/F000464-john-faso","http://twitter.com/RepJohnFaso"
"A. Drew Ferguson","https://projects.propublica.org/represent/members/F000465-a-drew-ferguson","http://twitter.com/RepDrewFerguson"
"Brian Fitzpatrick","https://projects.propublica.org/represent/members/F000466-brian-fitzpatrick","http://twitter.com/repbrianfitz"
"Chuck Fleischmann","https://projects.propublica.org/represent/members/F000459-chuck-fleischmann","http://twitter.com/RepChuck"
"Bill Flores","https://projects.propublica.org/represent/members/F000461-bill-flores","http://twitter.com/RepBillFlores"
"Jeff Fortenberry","https://projects.propublica.org/represent/members/F000449-jeff-fortenberry","http://twitter.com/JeffFortenberry"
"Bill Foster","https://projects.propublica.org/represent/members/F000454-bill-foster","http://twitter.com/RepBillFoster"
"Virginia Foxx","https://projects.propublica.org/represent/members/F000450-virginia-foxx","http://twitter.com/VirginiaFoxx"
"Lois Frankel","https://projects.propublica.org/represent/members/F000462-lois-frankel","http://twitter.com/RepLoisFrankel"
"Rodney Frelinghuysen","https://projects.propublica.org/represent/members/F000372-rodney-frelinghuysen","http://twitter.com/USRepRodney"
